சென்னை L
வரலாறு O
நகர் O
நூற்றாண்டு T
விஜயநகரம் L
இடம் O
வெளிநாடு O
வர்த்தகர் P
கடற்கரை O
மதபோதகர் P
கிராமம் O
ஹொட்ஸ்பர் L
இங்கிலாந்து L
கால்பந்தாட்டக் O
நியூஸிலாந்து L
அணிக்கு O
எதிரான O
முதலாவது O 
ஒருநாள் O
போட்டியில் O 
இலங்கை L
அணி O
ஓட்டங்களினால் O
தோல்வியை O
தழுவியுள்ளது O
என்ற O 
வெற்றியிலக்கை O
நோக்கி O
பதிலுக்கு O
துடுப்பெடுத்தாடிய O
இலங்கை L
அணிக்கு O
தனுஷ்க P
குணதலிக்க P
மற்றும் O
திக்வெல்ல P
விக்கெட்டுக்காக O
திக்வெல்லவும் P
ஓவரில் O
நீஷாமினுடைய P
பந்து O
ஜனித் P
பெரேரா P
வீரர்கள் O
அடுத்தடுத்து O
ஆட்டமிழந்து O
வெளியேறினர் O
குசல் P
மெண்டீஸ் P
தினேஷ் P
சந்திமால் P
அசேல P
குணரத்ன P
திஸர P
பெரேரா P
பெற்றது O
ஆறு N
ஓட்டம் O
தோல்வியைத் O
தழுவியது O
ஜேம்ஸ் P
நீஷன் P
ட்ரென்ட் P
போல்ட் P
லாக்கி P
பெர்குசன் P
ஈஷ் P
சோதி P
தலா O
மற்றும் O
மாட் P
ஹென்றி P
ஒரு N
தொடரில் O
அணி O
கணக்கில் O
முன்னிலையில் O
உள்ளது O
இரண்டாமிடத்துக்கு O
முன்னேறியது O
டொட்டென்ஹாம் ORG
ஹொட்ஸ்பர் ORG
இங்கிலாந்து l
கால்பந்தாட்டக் O
கழகங்களுக்கிடையிலான O
எவெர்ற்றன் ORG
போர்ண்மெத் ORG
வொல்வர்ஹம்ப்டன் ORG
வொன்டரேர்ஸ் ORG
சனிக்கிழமை O
பின்னடைவைச் O
கார்டிப் ORG
நேற்றிரவு ORG
ஹரி P
கேன் P
கெய்ரான் P
ட்ரிப்பியரிடம் P
சீன் P
மொரிசனிடம் P
சண் P
ஹெயுங் P
மின் P
கிறிஸ்டியன் P
எரிக்சன் P
சம்பியன்கள் O
மன்செஸ்டர் ORG
லிவர்பூலை ORG
நாளை O
மறுதினம் O
எதிர்கொள்கிறது O
புல்ஹாம் ORG
ஆர்சனல் ORG
கிரனிட் P
ஸாகா P
அலெக்ஸான்ட்ரே P
லகஸ்ரே P,
ஆரோன் P
றம்சி P
பியரி P
எம்ரிக் P 
அபுமெயாங்க் P
அபுபக்கர் P
கமரா P
செல்சி ORG
